Title,Year,Type,Genre,Director,Runtime,Plot,imdbRating,imdbVotes,imdbID,RT_Tomatometer,Metacritic,BoxOffice,Rated
The Apprentice,2024,movie,"Biography, Drama, History",Ali Abbasi,122 min,"A young man took over his father's real-estate business in 1970s and '80s New York, and got the helping hand of an infamous closeted gay lawyer who helped him turn this young man into a notorious legend. Based on true events.",7.1,"65,222",tt8368368,82%,64/100,"$4,001,904",R
Bad President,2021,movie,"Comedy, Fantasy",Param Gill,90 min,"The devil encourages media personality Donald Trump to run for president of the United States, so he can have a political puppet. But throughout Trump's many gaffes, the devil wonders if he even has a chance of winning.",3.5,"4,722",tt10047958,,,N/A,N/A
A Storm Foretold,2023,movie,"Documentary, Biography, History",Christoffer Guldbrandsen,101 min,"With Trump's political godfather, Roger Stone, as the film's central character the film documents how Trump's presidential period had to find its logical end point in The Storm at the Capitol.",7.6,714,tt22306998,,,"$3,269",N/A
Fahrenheit 11/9,2018,movie,Documentary,Michael Moore,128 min,"Filmmaker Michael Moore examines the current state of American politics, particularly the Donald Trump presidency and gun violence, while highlighting the power of grassroots democratic movements.",7.2,"21,455",tt8632862,82%,69/100,"$6,352,306",R
Unfit: The Psychology of Donald Trump,2020,movie,"Documentary, Biography",Dan Partland,83 min,"An eye-opening and shattering analysis of the behavior, psyche, condition, and stability of Donald Trump.",7.0,"3,377",tt12304596,81%,,N/A,Not Rated
Get Me Roger Stone,2017,movie,"Documentary, Biography","Dylan Bank, Daniel DiMauro, Morgan Pehme",92 min,"A documentary exploring the life and career of notorious Republican dirty trickster and longtime Trump adviser, Roger Stone, who helped create the real estate mogul's political career.",7.3,"7,856",tt6714534,88%,75/100,N/A,TV-14
You've Been Trumped,2011,movie,Documentary,Anthony Baxter,79 min,"In this David and Goliath story for the 21st century, a group of proud Scottish homeowners take on celebrity tycoon Donald Trump as he buys up one of Scotland's last wilderness areas to build a golf resort.",7.5,"2,318",tt1943873,88%,57/100,"$29,273",Not Rated
You've Been Trumped Too,2016,movie,Documentary,Anthony Baxter,79 min,"A chronicle of the confrontation between billionaire Donald Trump and feisty 92-year-old Scottish widow, Molly Forbes.",6.0,232,tt6158604,75%,54/100,N/A,N/A
Trumped: Inside the Greatest Political Upset of All Time,2017,movie,"Documentary, Biography","Ted Bourne, Mary Robertson, Banks Tarver",105 min,"Unprecedented access and never-before-seen footage of candidate Trump, from the primaries through the debates to the dawning realization that the controversial businessman will become the 45th President of the United States.",6.4,786,tt6408738,36%,,N/A,TV-14
Looking for Melania Trump,2020,movie,"Documentary, Biography",Laura Haïm,52 min,"Hack, Laurence Haïm, starts this degrading ""bio"" by inferring incest. Her father ""dressed her"" for her first photo shoot. A quick shift to a photo of her father looking identical to a similarly clad Donald Trump completes the scene..",4.7,151,tt13177000,,,N/A,TV-14
A Dangerous Game,2014,movie,Documentary,Anthony Baxter,102 min,"This sequel to You've Been Trumped (2011) investigates how land developers like Donald Trump use golf as an excuse to build huge luxurious resorts at the expense of the locals and their ecosystem, and abuse natural resources.",7.1,207,tt3714626,,,N/A,Unrated
Vindicating Trump,2024,movie,Documentary,"Debbie D'Souza, Dinesh D'Souza, Bruce Schooley",96 min,"Dinesh D'Souza examines the challenges faced by Donald Trump, including political opposition, legal battles, and assassination attempts, during his bid to return to the presidency.",4.0,"1,458",tt33355888,,,"$1,372,091",PG-13
Trump Card,2020,movie,Documentary,"Debbie D'Souza, Dinesh D'Souza, Bruce Schooley",103 min,The facts before and after the election to take over America by the left.,4.6,"3,019",tt12109842,,,N/A,PG-13
The Plot Against the President,2020,movie,Documentary,Amanda Milius,91 min,Follows the story of the biggest political scandal in U.S. history. Based on Lee Smith's book.,5.4,"4,477",tt12734800,,,N/A,N/A
My Dinner with Trump,2022,movie,Documentary,Albert Hanover,73 min,"This is the Trump that the media will never show you. Unguarded with his closest advisors. Access like no president has ever given. Love him or hate him, you've never seen anything like this before.",6.8,76,tt23158228,,,N/A,N/A
Government Gangsters,2024,movie,Documentary,M.A. Taylor,N/A,"Government conspiracy to undermine President Trump and his supporters, exposing corruption, deceit, and betrayal within the system meant to protect democracy.",8.5,10,tt32893053,,,N/A,N/A
The First Step,2021,movie,Documentary,Brandon Kramer,90 min,"In a divided America, Van Jones attempts to pass a landmark criminal justice bill - and finds himself under fire from all sides.",8.8,89,tt14574078,87%,64/100,N/A,N/A
Harry Benson: Shoot First,2016,movie,Documentary,"Justin Bare, Matthew Miele",87 min,"What we know today about many famous musicians, politicians, and actresses is due to the famous work of photographer Harry Benson. He captured vibrant and intimate photos of the most famous band in history;The Beatles. His extensi...",7.4,447,tt3319844,85%,74/100,"$18,092",Unrated
The Comey Rule,2020,series,Drama,N/A,2 min,"Jeff Daniels and Brendan Gleeson star as former FBI Dir. James Comey and President Donald J. Trump in this limited series of the story of two powerful men, whose strikingly different ethics and loyalties put them on a collision co...",7.5,"10,373",tt9174536,,,N/A,TV-MA
Trump: An American Dream,2017,series,"Documentary, Biography",N/A,N/A,A British documentary series exploring the extraordinary journey of Donald Trump through five decades.,7.2,"4,618",tt7596008,,,N/A,N/A
Celebrity,1998,movie,"Comedy, Drama",Woody Allen,113 min,The fortunes of a husband and wife differ drastically after they divorce.,6.3,"29,549",tt0120533,43%,42/100,"$5,078,660",R
